price,number,Streetname,streetType,city,province,neighbourhood,long,lat,SoccerField,PicnicFacility,ArtificialTurfSoccerField,TrailAccess,Washroom,Airport,Monument,Penitentiary,BallDiamond,Park,SplashPad,Arena,Village,EducationFacility,Playground,Museum,SkateboardPark,ParkingLot,,FireStation,EnergyDistribution,Washroom(M),BasketballCourt,FireTrainingCentre,RadioStation,Quarry-Active,TennisCourt,OutdoorRink,RecreationFacility,PrivateBallDiamond,PlaceofWorship,Hospital,ParkandRide,Queen'sUniversity,BoatRamp,Quarry-Abandoned,ChildcareFacility,EmploymentServices,PrivateRecreationFacility,Trailhead&Parking,RunningTrack,Town,ChangeRoom,NewsPaper,Gallery,TaxiStand,Parkette,BattingCage,GolfCourse,TrailAccess&Parking,Education,ProvincialGovernment,BMXTrack,Amusement/WaterPark,LongTermCare,Cemetery,DrinkFountain,HeritageSite,FutureSplashPad,ShoppingCentre,CommunityGarden,FerryDock,RMC,Track&Field,PickleballCourt,BeachVolleyballCourt,Queen'sUHistoricBuilding,MunicipalWastewaterTreatmentPlant,MunicipalGovernmentFacility,CellAntenna,HistoricSite,Off-LeashDogPark,GovernmentCentre,FACSFLA,SettlementServices,PostOffice,CourtHouse,FerryTerminal,Bench,TelevisionStation,Transmitter-Rogers,SwimmingPool,Washroom(W),RecreationCentre,Swingset,CommunicationTower,SolarFarm,Beach,FormerGrainElevevator,PlaceName,Municipal-UnmaintainedBoatRamp,Pier,Library,Theatre,Hotel/Motel,Fountain,PrimaryEOC,DrivingRange,ChildcareFacilty,PoliceStation,CulturalCentre,AthleticCentre,WaterPurificationPlant,Multi-UseCourt,Marina,Post-SecondaryEducation,CellTower,ChildcareFacility(CFB),ChildcareFacility(Private),ChildcarePrograms,MilitaryFamilyResourceCentre,CommunicationsTower,BusTransferStation,CRCAOffice,CanadianCoastGuard,SoccerField-Mini,HealthCentre,EmergencyResponseFacility,AmbulanceStation,GrantHouse,BusinessPark,Plaza,ReserveTrainingCentre,CurlingCentre,Quenn'sUHistoricBuilding,AquaticsCentre,CommunityCentre,Kingston&AreaRecyclingCo,SportsField,Church,TrainStation,SecondarySchool,BusStation,MarketSquare,AirportTerminal,SwingSet,Basketball,BasketbalCourt,QuarryActive,Motel,Memorial,WaterTower,CommunityService,WaterPark,Lock,CommunityServices,AmbulanceOffices,InfoCentre,CFB,WasteTransferStation,SocialServices,OutdoorAquaticsCentre,WPP,Queen'sUniversityWestCampus,IsabelBaderCentreforPerformingArts,POI
253000,16,Raglan,Road,KINGSTON,ON,Inner Harbour,-76.4835325,44.2380221,8,44,0,4,19,0,56,0,10,29,3,3,0,14,17,12,1,40,7,2,4,1,5,0,4,0,15,4,2,0,23,3,0,76,4,0,9,1,0,2,3,0,5,1,16,1,3,1,0,2,0,0,0,0,5,1,4,1,0,0,0,0,17,0,3,0,1,0,2,17,13,1,1,0,1,3,6,2,2,2,0,3,1,0,0,1,0,1,0,0,0,0,1,2,2,3,0,0,0,1,0,3,0,0,4,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,571
320100,999,WINFORD,Place,KINGSTON,ON,Sutton Mills,-76.5849987,44.2554952,14,8,0,0,0,0,1,0,8,17,0,0,0,10,23,0,0,0,2,1,0,0,4,0,0,0,6,1,1,0,7,0,0,0,0,0,11,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142
382000,1201,CROSSFIELD,Avenue,KINGSTON,ON,Cataraqui North,-76.5506429,44.2645145,1,1,0,6,2,0,1,0,7,8,1,1,0,2,12,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,5,0,1,0,0,0,3,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
232500,75,HILLCREST,Avenue,KINGSTON,ON,Kingscourt / Novelis (Alcan),-76.5003395,44.2502368,10,14,0,2,8,0,4,0,16,18,1,1,0,11,25,0,1,3,14,1,5,0,5,0,5,0,7,2,1,0,19,0,0,0,0,0,10,0,0,0,2,0,3,0,0,0,4,1,0,1,0,0,0,0,0,1,0,0,0,2,3,0,0,0,1,0,0,0,6,6,0,1,7,1,3,3,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,1,0,0,0,247
218500,216,SUTHERLAND,Drive,KINGSTON,ON,Marker's Acres,-76.4851218,44.2683133,9,7,0,1,2,0,1,0,5,9,0,0,0,4,15,0,1,2,9,0,2,0,5,0,0,1,3,1,0,0,5,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,106
279800,628,JOHNSON,Street,KINGSTON,ON,Sunnyside,-76.5037206,44.2312981,12,38,0,2,13,0,33,2,18,22,3,1,0,14,30,8,0,15,7,2,5,1,6,0,9,0,15,5,1,0,30,5,0,114,1,0,16,1,0,0,4,0,4,0,8,0,3,0,0,2,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,1,1,0,0,17,5,1,3,0,2,3,5,0,2,2,0,1,1,0,1,2,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,524
253600,1133,DUNHAM,Street,KINGSTON,ON,Westwoods,-76.5993085,44.2550318,16,19,0,0,1,0,1,0,12,16,0,0,0,9,23,0,0,0,2,1,0,0,5,0,0,0,6,1,0,0,5,0,0,0,2,0,11,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157
321500,47,GIBSON,Avenue,KINGSTON,ON,Sunnyside,-76.5112354,44.2298379,20,27,0,2,10,0,12,2,13,22,0,1,0,16,21,4,0,9,8,1,6,0,5,0,7,0,11,3,1,0,22,2,0,69,2,0,14,0,0,0,4,0,3,0,3,0,2,0,0,2,1,1,0,0,0,0,1,0,0,1,4,0,0,0,0,1,0,0,0,14,2,1,4,0,1,3,0,0,0,1,0,1,0,0,1,2,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,2,0,1,0,2,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,389
281500,109,SMITHFIELD,Crescent,KINGSTON,ON,Hillendale,-76.532742,44.2494347,11,6,0,5,1,0,1,0,1,22,0,0,0,13,16,2,1,0,5,0,2,0,2,0,0,0,6,1,1,0,7,0,1,0,0,0,6,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139
304200,138,BYRON,Crescent,KINGSTON,ON,Calvin Park,-76.5216119,44.2363051,25,16,0,4,4,0,5,1,7,28,0,0,0,16,23,3,1,4,11,1,6,0,4,0,5,0,15,2,1,0,14,1,0,7,1,0,14,0,0,0,3,0,0,0,0,0,3,0,0,0,1,1,0,0,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0,7,1,0,4,0,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,3,0,0,1,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,269
