type,lat,long
SoccerField, 44.245397917281814,-76.5812700009534
PicnicFacility, 44.23744100412508,-76.6071370559757
PicnicFacility, 44.292563986846254,-76.3099418136226
PicnicFacility, 44.29134328731304,-76.30931037845926
ArtificialTurfSoccerField, 44.273191432390874,-76.43509301561204
TrailAccess, 44.26826286146524,-76.45166322688438
Washroom, 44.228109400484335,-76.58258009057367
Washroom, 44.26330302026682,-76.48527718646864
Airport, 44.401379361689735,-76.24478241991152
SoccerField, 44.23789650524736,-76.43393079809155
SoccerField, 44.231490354428836,-76.51876043918635
SoccerField, 44.253184104991504,-76.4561452496633
SoccerField, 44.23620803997228,-76.57650519011307
Washroom, 44.237631156872176,-76.60623032849692
Monument, 44.22366159659314,-76.48484642005181
Penitentiary, 44.359894012556275,-76.3477701388706
TrailAccess, 44.267641121305594,-76.45176051137113
PicnicFacility, 44.255576930707925,-76.60327334009723
PicnicFacility, 44.23527919110211,-76.59665144066648
PicnicFacility, 44.21733817237733,-76.53271304463455
PicnicFacility, 44.21918049119702,-76.53357592923791
PicnicFacility, 44.29154193343139,-76.3098231302475
BallDiamond, 44.215704180660815,-76.56999737720534
BallDiamond, 44.23215230424117,-76.57187293950302
BallDiamond, 44.232358160944976,-76.57277864607832
BallDiamond, 44.25131903225335,-76.52276049984458
BallDiamond, 44.237239937229525,-76.60620433284099
Monument, 44.23278424987606,-76.50807339612754
Monument, 44.22205762550965,-76.49255345120358
Monument, 44.2250353688898,-76.48662783927581
Park, 44.240557434085645,-76.46396169894392
BallDiamond, 44.22726892740995,-76.48863839194055
SplashPad, 44.24577372331168,-76.5006188564288
Monument, 44.22390231389768,-76.48407674807957
Arena, 44.275404526718866,-76.56878633169812
Village, 44.78533601770921,-77.16826816528281
Village, 44.8991401643747,-76.67698812151527
Village, 44.434040202809264,-75.88201493845806
Village, 44.69284594685652,-76.76390204507739
Village, 44.26166023979571,-76.38224896743901
Village, 44.66103845337055,-75.88301703697381
Village, 44.42643098047999,-76.80782986071739
BallDiamond, 44.22135081744784,-76.57909053101316
Village, 44.92262454613067,-76.66927190512318
Village, 44.34413029030458,-76.4467504610852
Village, 44.590039107549615,-75.68501256735392
Village, 44.29456346484717,-77.08114460677857
Village, 44.316498884277344,-76.61581031389987
Village, 44.95704214108859,-76.600015801988
Village, 44.14572471405203,-76.95578126035284
Village, 44.113567993895636,-76.91643479526562
Village, 44.365274295188364,-76.93979416723165
EducationFacility, 44.23821272625188,-76.93732102009605
Village, 44.87441267332139,-76.69457470566024
Village, 44.71103871605731,-75.94801736182353
Village, 44.28750856089093,-76.84896402935388
Village, 44.64179394239717,-76.80327696726393
Village, 44.2411755233493,-76.46331773382056
Village, 44.56013051204026,-76.62943953884007
Village, 44.215495314099094,-76.88654406881746
Village, 45.3340419596771,-76.29001770134992
Village, 44.83533293923788,-76.61647697219385
EducationFacility, 44.23543815719207,-76.50487059060404
EducationFacility, 44.26974912073023,-76.48626014190748
Playground, 44.25133315309628,-76.50289209369379
Playground, 44.23570237066861,-76.5305403651191
Playground, 44.27315988618709,-76.48159744290915
Playground, 44.239286448062764,-76.52385149518945
Playground, 44.217100471346555,-76.56996824157123
Playground, 44.320829136165884,-76.46046527388532
BallDiamond, 44.2493070229084,-76.45520737636237
Museum, 44.296383462404,-76.31400915135951
Monument, 44.23526133066091,-76.48815910889265
Monument, 44.237906147787584,-76.48031097179053
Monument, 44.254198799725756,-76.53011465886877
Monument, 44.41512317075057,-76.31026782231734
Monument, 44.254573593100055,-76.57235543460804
Monument, 44.22957646223804,-76.47971098833372
SkateboardPark, 44.23534826177377,-76.52886287998487
Playground, 44.26902795221287,-76.4872527078206
Park, 44.26358004640635,-76.48889726570894
Park, 44.258802267590205,-76.48907752882306
Playground, 44.25068579737427,-76.52323787235188
Playground, 44.2550447805166,-76.5975456105287
ParkingLot, 44.22490523280248,-76.49468297414207
ParkingLot, 44.231433710933096,-76.4853250890148
ParkingLot, 44.23734376622492,-76.48062279928595
Playground, 44.27911523028124,-76.54743136004492
Playground, 44.264382628371514,-76.5456940388561
Playground, 44.23739640369481,-76.53250314350959
Monument, 44.238950343063124,-76.49937190361184
, 44.243601488386155,-76.42644231610646
EducationFacility, 44.23144594259702,-76.49083361238225
EducationFacility, 44.25348308016561,-76.45897110079162
FireStation, 44.411035896986995,-76.28162681947539
FireStation, 44.31978691675835,-76.50204335465241
EnergyDistribution, 44.24750942387479,-76.52627371719247
EnergyDistribution, 44.224103612928324,-76.52322083793251
EnergyDistribution, 44.24100474430431,-76.44910555041841
EnergyDistribution, 44.2233847158583,-76.50372091706411
SoccerField, 44.216038824953344,-76.56991353580572
Washroom(M), 44.22614915889512,-76.4888644227717
SoccerField, 44.320090307617086,-76.4608043839506
SoccerField, 44.2474987762172,-76.59245693156221
Washroom, 44.22879349590806,-76.57801534800777
SoccerField, 44.26422653684184,-76.48531108731267
Washroom, 44.259889266502256,-76.60339575941443
BasketballCourt, 44.235430147544974,-76.48809500731434
BasketballCourt, 44.26067526276568,-76.48446915209061
SoccerField, 44.227879368063554,-76.52862005783408
SoccerField, 44.24261355995204,-76.44618341232565
SoccerField, 44.271782135198684,-76.43595464392368
Monument, 44.22092431727392,-76.5173989292395
SoccerField, 44.228488232516604,-76.52866215215093
PicnicFacility, 44.21208127632046,-76.57619701797069
PicnicFacility, 44.27350422202469,-76.48105880988453
PicnicFacility, 44.22697896634253,-76.52888394169244
PicnicFacility, 44.292359010424086,-76.3092054758179
PicnicFacility, 44.29185776340438,-76.31055121992671
Village, 44.867584908183524,-76.7221724010893
Village, 45.178040702428554,-76.40401584899739
Village, 44.64104215263987,-76.1540188685295
Village, 44.20176602041537,-76.9254490084226
Village, 44.22536264492032,-76.62897113426999
Village, 44.704039604101176,-75.67001464245168
Village, 44.72547578928823,-76.9460015515681
Village, 44.41688595658892,-76.76076276958939
Village, 44.740040953079856,-75.99501549552762
Village, 44.92304220509916,-76.61701590367457
Village, 44.12244842554813,-76.96628877624045
BasketballCourt, 44.23634446759015,-76.4510995646658
BallDiamond, 44.24397422221359,-76.50176361215934
Monument, 44.21760303615746,-76.516110761338
Monument, 44.22488197375009,-76.48669983736006
FireTrainingCentre, 44.26430942504827,-76.51654697235534
RadioStation, 44.240709121516346,-76.50969375207788
EducationFacility, 44.258049558794866,-76.60554524725163
Park, 44.281010186796614,-76.50903826597391
SplashPad, 44.2371173025815,-76.48315011347032
SoccerField, 44.22674619898299,-76.49817774207101
Quarry-Active, 44.28088416038748,-76.57857513561282
PicnicFacility, 44.259176429129,-76.60476882081018
PicnicFacility, 44.29149815486348,-76.30969655460468
, 44.262072158241644,-76.55959126717781
TennisCourt, 44.23545603476364,-76.46763257868596
TennisCourt, 44.22903751179611,-76.57849335956945
OutdoorRink, 44.23327225091417,-76.49956024177531
OutdoorRink, 44.23008734416257,-76.48105137162445
RecreationFacility, 44.23849272793034,-76.48500912876055
TennisCourt, 44.22832766003785,-76.50605653259922
, 44.22422217007933,-76.52231841344191
PrivateBallDiamond, 44.21210660476115,-76.54692125303167
PicnicFacility, 44.2334085314579,-76.49812346213892
, 44.21333074637347,-76.55631541978254
TennisCourt, 44.23579128194399,-76.46719045699919
TennisCourt, 44.240115066587684,-76.53430059336038
TennisCourt, 44.24363040365319,-76.45865459491557
TennisCourt, 44.25450453261262,-76.45785654963309
TennisCourt, 44.24860879146614,-76.59150562342646
TennisCourt, 44.24861501507759,-76.5913348744449
PlaceofWorship, 44.22925994007793,-76.48274319932604
PicnicFacility, 44.260082335698705,-76.60523608231797
PicnicFacility, 44.23787422038918,-76.60644235871776
PicnicFacility, 44.23373685723627,-76.49761776157216
EducationFacility, 44.22252905233034,-76.57972894830057
Playground, 44.25828006729876,-76.60665050954196
Playground, 44.23359331707596,-76.51246507914628
EducationFacility, 44.23406962357196,-76.48653806167795
Playground, 44.26908016803959,-76.62091078353818
Playground, 44.22536783585983,-76.48774987246402
Playground, 44.2386548040739,-76.58810048100631
SoccerField, 44.25309672909249,-76.56036009703494
SkateboardPark, 44.254380785696604,-76.45934436874427
Playground, 44.23392516326569,-76.48612090143708
Monument, 44.23808514107595,-76.60558373546631
Hospital, 44.230800939887274,-76.48633553730112
ParkingLot, 44.231053286753635,-76.48328659129452
Playground, 44.26409337052656,-76.48295290521604
ParkingLot, 44.231392598886536,-76.47829239477345
ParkingLot, 44.230692686282126,-76.48019705238605
Playground, 44.234986735370164,-76.51107213336468
BasketballCourt, 44.23922695053268,-76.52123374321052
Playground, 44.231736426928926,-76.51923651063892
Playground, 44.25661023159198,-76.52482954620103
ParkandRide, 44.28713593573189,-76.43124821326391
Playground, 44.30640104407728,-76.46258145882403
, 44.25743613692135,-76.55100738852515
PlaceofWorship, 44.22101946069811,-76.5220682310724
Queen'sUniversity, 44.227947778884335,-76.49855164905684
Queen'sUniversity, 44.22740285125923,-76.496023338558
PlaceofWorship, 44.26155709544725,-76.49005832902562
BallDiamond, 44.23574695024011,-76.55707216791711
BoatRamp, 44.21771740164793,-76.51786163843126
Queen'sUniversity, 44.225665892041185,-76.50974400925453
Hospital, 44.22266423244257,-76.4940395717173
BallDiamond, 44.2447623002195,-76.57987348670385
BallDiamond, 44.258908820455865,-76.60440804528007
BallDiamond, 44.26448661252729,-76.54639012395285
BallDiamond, 44.24387104904272,-76.5021818395967
BallDiamond, 44.223032413637235,-76.51928629160193
PicnicFacility, 44.23822933591145,-76.60628113518167
PicnicFacility, 44.29300315872337,-76.31113629476276
Quarry-Active, 44.283749518441155,-76.49319938962732
PicnicFacility, 44.24188814011122,-76.4795653672322
PicnicFacility, 44.260031815600186,-76.60292545483064
Quarry-Abandoned, 44.32563280243646,-76.47384491838123
ChildcareFacility, 44.23875709866536,-76.5693038160035
EnergyDistribution, 44.23238817617112,-76.48027982520281
EmploymentServices, 44.232759152877826,-76.4874393124179
Park, 44.285471048030935,-76.53702984558237
PicnicFacility, 44.260101829297184,-76.60521735795243
PicnicFacility, 44.23876750308052,-76.58801243296621
EducationFacility, 44.23157436883723,-76.51976524482801
PicnicFacility, 44.292473345778305,-76.30961145325912
PicnicFacility, 44.21299706412632,-76.56757343983003
PicnicFacility, 44.24647001981456,-76.49038409364275
PicnicFacility, 44.29274689730526,-76.30991085230707
ParkingLot, 44.23075620963935,-76.47839733807565
Park, 44.25781505892496,-76.52854450637736
Park, 44.242017096929274,-76.53209487642715
