price, number, streetName, streetType, city, province
1499900,62,Park,crescent, Kingston, Ontario
485000,714,BROCK,street, Kingston, Ontario
459500,1439,APOLLO,terrace, Kingston, Ontario
819900,176,Queens,crescent, Kingston, Ontario
369900,196,York,street, Kingston, Ontario
213900,962,Oakview,avenue, Kingston, Ontario
369900,196,York,street, Kingston, Ontario
319900,872,ALLUM,avenue, Kingston, Ontario
389500,789,Davis,drive, Kingston, Ontario
819900,176,Queens,crescent, Kingston, Ontario
419900,630,Princess,street, Kingston, Ontario
399900,455,Beth,crescent, Kingston, Ontario
388888,926-928,PORTSMOUTH,avenue, Kingston, Ontario
658900,213,Millpond,place, Kingston, Ontario
544760,216,Millpond,place, Kingston, Ontario
300000,769,Newmarket,lane, Kingston, Ontario
1450000,94,Bagot,street, Kingston, Ontario
388800,782,Davis,drive, Kingston, Ontario
289000,581,MACDONNELL,street, Kingston, Ontario
424900,876,Ludgate,crescent, Kingston, Ontario
625000,1776,RADAGE,road, Kingston, Ontario
544900,845,ROSHAN,drive, Kingston, Ontario
349900,379,Old Quarry,road, Kingston, Ontario
370000,3249,Wilton,road, Kingston, Ontario
550000,414,MacDonnell,street, Kingston, Ontario
259900,70,Abbey Dale,court, Kingston, Ontario
419900,542,Nora,court, Kingston, Ontario
309900,41,Sunny Acres,road, Kingston, Ontario
334900,193,York,street, Kingston, Ontario
629900,653,King ST,W, Kingston, Ontario
714900,1231,Lisbon,place, Kingston, Ontario
439900,557,SAVANNAH,court, Kingston, Ontario
550000,71,PINE,street, Kingston, Ontario
624900,1641,Providence,crescent, Kingston, Ontario
398700,413,DOLSHIRE,street, Kingston, Ontario
1450000,94,Bagot,street, Kingston, Ontario
699900,241,Mann,drive, Kingston, Ontario
254900,108,Joseph,street, Kingston, Ontario
661650,213,MILLPOND,place, Kingston, Ontario
724900,412,Regent,street, Kingston, Ontario
340600,1388,Tremont,drive, Kingston, Ontario
499900,1105,Crossfield,avenue, Kingston, Ontario
1450000,452,KINGSTON MILLS,road, Kingston, Ontario
299000,2603,Tiller,lane, Kingston, Ontario
321500,1452,Monarch,drive, Kingston, Ontario
749900,4292,Bath,road, Kingston, Ontario
554900,645,ROGERS SIDE,road, Kingston, Ontario
674900,1341,Butternut Creek,road, Kingston, Ontario
299900,223,PRINCESS,street, Kingston, Ontario
379900,1133,Wheathill,street, Kingston, Ontario
653775,244,MILLPOND,place, Kingston, Ontario
674900,1403,Highway 15,Highway, Kingston, Ontario
559900,152,GREENLEES,drive, Kingston, Ontario
789900,609,Fieldstone,drive, Kingston, Ontario
799900,873,Roshan,drive, Kingston, Ontario
483900,1409,Crossfield,avenue, Kingston, Ontario
649900,1189,Atkinson,street, Kingston, Ontario
389000,823,Montreal,street, Kingston, Ontario
399900,455,BETH,crescent, Kingston, Ontario
675000,1216,UNITY,road, Kingston, Ontario
534900,787,Friendship,court, Kingston, Ontario
565000,236,Smuggler's Cove,drive, Kingston, Ontario
558150,245,MILLPOND,place, Kingston, Ontario
589900,1815,Highway 2 E,Highway, Kingston, Ontario
709900,641,Gwen,avenue, Kingston, Ontario
800000,630,PRINCESS,street, Kingston, Ontario
299900,1810,SYDENHAM,road, Kingston, Ontario
375000,630,PRINCESS,street, Kingston, Ontario
399900,122,Morenz,crescent, Kingston, Ontario
499900,1499,BERKSHIRE,drive, Kingston, Ontario
424900,421,Cooke,crescent, Kingston, Ontario
473300,1476,BERKSHIRE,drive, Kingston, Ontario
389000,823,Montreal,street, Kingston, Ontario
1560000,168,Toronto,street, Kingston, Ontario
419000,1176,Johnson,street, Kingston, Ontario
399000,1616,Grousewood,lane, Kingston, Ontario
758900,1519,BERKSHIRE,drive, Kingston, Ontario
524900,217,Clipper,court, Kingston, Ontario
669000,246,Pauline Tom,avenue, Kingston, Ontario
539900,1052,ROSANNA,avenue, Kingston, Ontario
684900,417,Albert,street, Kingston, Ontario
257900,2385,MCIVOR,road, Kingston, Ontario
439000,1417-1419,Montreal,street, Kingston, Ontario
309000,1424,Woodfield,crescent, Kingston, Ontario
123000,25,Worthington,way, Kingston, Ontario
614900,51,Riverside,drive, Kingston, Ontario
107900,98,Worthington,way, Kingston, Ontario
459900,3,Newcourt,place, Kingston, Ontario
739900,1166,Escala,crescent, Kingston, Ontario
549000,1515,BERKSHIRE,drive, Kingston, Ontario
434800,1015,Terra Verde,way, Kingston, Ontario
