price,number,Streetname,streetType,city,province,neighbourhood
1499900,62,Park,crescent,Kingston,ON,Reddendale
819900,176,Queens,crescent,Kingston,ON,Alwington
485000,714,Brock,street,Kingston,ON,Sunnyside
389500,789,Davis,drive,Kingston,ON,Gardiners / Meadowbrook
369900,196,York,street,Kingston,ON,Williamsville
319900,872,Allum,avenue,Kingston,ON,Bayridge West
213900,962,Oakview,avenue,Kingston,ON,Bayridge East
125000,160,Princess,street,Kingston,ON,Sydenham
1825000,23,Point,crescent,Kingston,ON,Reddendale
1250000,47,Beverley,street,Kingston,ON,Alwington
999800,1368,Highway 15,Highway,Kingston,ON,Greenwood Park / St. Lawrence South
710000,45,Beverley,street,Kingston,ON,Alwington
449900,20,Jenkins,street,Kingston,ON,Williamsville
429500,49,Beverley,street,Kingston,ON,Alwington
309900,41,Sunny Acres,road,Kingston,ON,Reddendale
550000,414,Macdonnell,street,Kingston,ON,Sunnyside
424900,876,Ludgate,crescent,Kingston,ON,Bayridge East
370000,3249,Wilton,road,Kingston,ON,Sharpton / Glenvale
349900,241,William,street,Kingston,ON,Queen's
254900,108,Joseph,street,Kingston,ON,Inner Harbour
239900,774,Montreal,street,Kingston,ON,Rideau Heights
714900,1231,Lisbon,place,Kingston,ON,Cataraqui North
459900,946,Chancery,street,Kingston,ON,Westwoods
398700,413,Dolshire,street,Kingston,ON,Gardiners / Meadowbrook
359000,804,Ringstead,street,Kingston,ON,Lemoine Point
349900,379,Old Quarry,road,Kingston,ON,Strathcona Park
259900,70,Abbey Dale,court,Kingston,ON,Rideau Heights
249900,59,Joyce,street,Kingston,ON,Marker's Acres
1450000,94,Bagot,street,Kingston,ON,Sydenham
1199900,1205-5,Gore,street,Kingston,ON,Sydenham
629900,653,King West,street,Kingston,ON,Portsmouth
624900,1641,Providence,crescent,Kingston,ON,Cataraqui North
550000,71,Pine,street,Kingston,ON,Inner Harbour
550000,635,Arlington Park,place,Kingston,ON,Gardiners / Meadowbrook
535000,1020,Portsmouth,avenue,Kingston,ON,Strathcona Park
499900,535,Frontenac,street,Kingston,ON,Williamsville
479900,1701,Reginald Bart,drive,Kingston,ON,Greenwood Park / St. Lawrence South
439900,557,Savannah,court,Kingston,ON,Cataraqui North
419900,542,Nora,court,Kingston,ON,Greenwood Park / St. Lawrence South
299900,745,Louis,street,Kingston,ON,Mile Square
299900,105,Dauphin,avenue,Kingston,ON,Marker's Acres
294900,315,Rose Abbey,drive,Kingston,ON,Greenwood Park / St. Lawrence South
483900,1409,Crossfield,avenue,Kingston,ON,Cataraqui North
675000,180,Willingdon,avenue,Kingston,ON,Sunnyside
549900,61,Yonge,street,Kingston,ON,Portsmouth
519000,396,Barrie,street,Kingston,ON,Inner Harbour
419900,47,Gibson,avenue,Kingston,ON,Sunnyside
257900,2385,Mcivor,road,Kingston,ON,Sharpton / Glenvale
254900,2383,Mcivor,road,Kingston,ON,Sharpton / Glenvale
559900,4458,Highway 15,Highway,Kingston,ON,Joyceville / Brewer's Mills
275000,2142,Unity,road,Kingston,ON,Sharpton / Glenvale
229900,340,Elliott,avenue,Kingston,ON,Rideau Heights
179900,80,Rosemund,crescent,Kingston,ON,Strathcona Park
1850000,1495,Lower,drive,Kingston,ON,Mile Square
674900,1341,Butternut Creek,road,Kingston,ON,Greenwood Park / St. Lawrence South
485000,1636,Bath,road,Kingston,ON,Gardiners / Meadowbrook
399900,2018,Geology,trail,Kingston,ON,Auden Park
390270,1419,Monarch,drive,Kingston,ON,Sydenham
388800,782,Davis,drive,Kingston,ON,Gardiners / Meadowbrook
1799000,19,Vandalay,crescent,Kingston,ON,Sunnyside
895000,51,Cowdy,street,Kingston,ON,Inner Harbour
699000,52,Kensington,avenue,Kingston,ON,Alwington
669900,370,Alfred,street,Kingston,ON,Williamsville
319000,1015,Springfield,drive,Kingston,ON,Lemoine Point
419000,1176,Johnson,street,Kingston,ON,Fairway Hills
319000,148,Charles,street,Kingston,ON,Inner Harbour
674900,434,Princess,street,Kingston,ON,Queen's
519900,99,Robert Wallace,drive,Kingston,ON,Polson Park
465000,1025,Dunham,street,Kingston,ON,Westwoods
449900,137,Pauline Tom,avenue,Kingston,ON,Greenwood Park / St. Lawrence South
289000,581,Macdonnell,street,Kingston,ON,Kingscourt / Novelis (Alcan)
869900,255,Earl,street,Kingston,ON,Queen's
779900,77,Rideau,street,Kingston,ON,Inner Harbour
629900,75,Rideau,street,Kingston,ON,Inner Harbour
534900,787,Friendship,court,Kingston,ON,Westwoods
495000,1054,Mona,drive,Kingston,ON,Westwoods
394900,1085,Johnson,street,Kingston,ON,Calvin Park
529900,1075,Finch,street,Kingston,ON,Westwoods
499900,1105,Crossfield,avenue,Kingston,ON,Cataraqui North
379900,1133,Wheathill,street,Kingston,ON,Gardiners / Meadowbrook
364900,939,Auden Park,drive,Kingston,ON,Henderson
349900,969,Alpine,court,Kingston,ON,Sutton Mills
729000,1455,Stoneridge,drive,Kingston,ON,Auden Park
479900,1177,Woodbine,road,Kingston,ON,Westwoods
259900,124,Dauphin,avenue,Kingston,ON,Marker's Acres
749000,1292,Highway 15,Highway,Kingston,ON,Greenwood Park / St. Lawrence South
669000,246,Pauline Tom,avenue,Kingston,ON,Greenwood Park / St. Lawrence South
559900,152,Greenlees,drive,Kingston,ON,Greenwood Park / St. Lawrence South
539900,359,Brock,street,Kingston,ON,Queen's
414900,463,Davis,drive,Kingston,ON,Gardiners / Meadowbrook
949000,81,Kenwoods,circle,Kingston,ON,Cataraqui River East
524900,1088,Wise,street,Kingston,ON,Westwoods
369000,656,Sussex,boulevard,Kingston,ON,Bayridge West
879900,568,Savannah,court,Kingston,ON,Cataraqui North
699900,913,Newhall,drive,Kingston,ON,Westwoods
479000,16,North Bartlett,street,Kingston,ON,Williamsville
184900,72,Russell,street,Kingston,ON,Inner Harbour
450000,1015,Terra Verde,way,Kingston,ON,Inner Harbour
775000,625,Fieldstone,drive,Kingston,ON,Greenwood Park / St. Lawrence South
874900,711,King,street,Kingston,ON,Portsmouth
875000,215,University,avenue,Kingston,ON,Queen's
597800,146,Greenlees,drive,Kingston,ON,Greenwood Park / St. Lawrence South
592500,132,Greenlees,drive,Kingston,ON,Greenwood Park / St. Lawrence South
1350000,181,Sydeham,street,Kingston,ON,Inner Harbour
590000,80,Pembroke,street,Kingston,ON,Alwington
239900,155,Guthrie,drive,Kingston,ON,Marker's Acres
885000,1,Montgomery,boulevard,Kingston,ON,Reddendale
538500,1106,Fawn,court,Kingston,ON,Cataraqui North
389000,823,Montreal,street,Kingston,ON,Rideau Heights
684500,1956,Rosedale,drive,Kingston,ON,Elginburg / Silvers Corners / Shannon's Corners
280000,40,Fifth,avenue,Kingston,ON,Kingscourt / Novelis (Alcan)
249900,675,Alfred,street,Kingston,ON,Kingscourt / Novelis (Alcan)
189000,0,Leeman,road,Kingston,ON,Elginburg / Silvers Corners / Shannon's Corners
749900,1139,Seale,court,Kingston,ON,Cataraqui North
