price,number,Streetname,streetType,city,province,neighbourhood
1499900,62,Park,crescent,Kingston,ON,Reddendale
819900,176,Queens,crescent,Kingston,ON,Alwington
485000,714,Brock,street,Kingston,ON,Sunnyside
459500,1439,Apollo,terrace,Kingston,ON,Cataraqui Westbrook
389500,789,Davis,drive,Kingston,ON,Gardiners / Meadowbrook
369900,196,York,street,Kingston,ON,Williamsville
319900,872,Allum,avenue,Kingston,ON,Bayridge West
213900,962,Oakview,avenue,Kingston,ON,Bayridge East
125000,160,Princess,street,Kingston,ON,Sydenham
1825000,23,Point,crescent,Kingston,ON,Reddendale
1250000,47,Beverley,street,Kingston,ON,Alwington
999800,1368,Highway 15,Highway,Kingston,ON,Greenwood Park / St. Lawrence South
710000,45,Beverley,street,Kingston,ON,Alwington
699900,241,Mann,drive,Kingston,ON,Sydenham
544900,845,Roshan,drive,Kingston,ON,Cataraqui Westbrook
449900,20,Jenkins,street,Kingston,ON,Williamsville
429500,49,Beverley,street,Kingston,ON,Alwington
309900,41,Sunny Acres,road,Kingston,ON,Reddendale
550000,414,Macdonnell,street,Kingston,ON,Sunnyside
499900,205,Mann,drive,Kingston,ON,Sydenham
499900,110,Mann,drive,Kingston,ON,Sydenham
499900,114,Mann,drive,Kingston,ON,Sydenham
499900,201,Mann,drive,Kingston,ON,Sydenham
424900,876,Ludgate,crescent,Kingston,ON,Bayridge East
399900,122,Mann,drive,Kingston,ON,Sydenham
399900,118,Mann,drive,Kingston,ON,Sydenham
370000,3249,Wilton,road,Kingston,ON,Sharpton / Glenvale
349900,126,Mann,drive,Kingston,ON,Sydenham
349900,130,Mann,drive,Kingston,ON,Sydenham
349900,241,William,street,Kingston,ON,Queen's
299900,134,Mann,drive,Kingston,ON,Sydenham
289900,847,Cedarwood,drive,Kingston,ON,Cataraqui Westbrook
254900,108,Joseph,street,Kingston,ON,Inner Harbour
239900,774,Montreal,street,Kingston,ON,Rideau Heights
749900,500,Gore,road,Kingston,ON,Greenwood Park / St. Lawrence South
714900,1231,Lisbon,place,Kingston,ON,Cataraqui North
699000,213,Mann,drive,Kingston,ON,Sydenham
499900,209,Mann,drive,Kingston,ON,Sydenham
459900,946,Chancery,street,Kingston,ON,Westwoods
398700,413,Dolshire,street,Kingston,ON,Gardiners / Meadowbrook
359000,804,Ringstead,street,Kingston,ON,Lemoine Point
349900,379,Old Quarry,road,Kingston,ON,Strathcona Park
299900,138,Mann,drive,Kingston,ON,Sydenham
259900,70,Abbey Dale,court,Kingston,ON,Rideau Heights
249900,59,Joyce,street,Kingston,ON,Marker's Acres
219900,245,Mann,drive,Kingston,ON,Sydenham
219900,229,Mann,drive,Kingston,ON,Sydenham
219900,221,Mann,drive,Kingston,ON,Sydenham
1450000,94,Bagot,street,Kingston,ON,Sydenham
1199900,1205-5,Gore,street,Kingston,ON,Sydenham
629900,653,King West,street,Kingston,ON,Portsmouth
624900,1641,Providence,crescent,Kingston,ON,Cataraqui North
550000,71,Pine,street,Kingston,ON,Inner Harbour
550000,635,Arlington Park,place,Kingston,ON,Gardiners / Meadowbrook
535000,1020,Portsmouth,avenue,Kingston,ON,Strathcona Park
499900,535,Frontenac,street,Kingston,ON,Williamsville
479900,1701,Reginald Bart,drive,Kingston,ON,Greenwood Park / St. Lawrence South
439900,557,Savannah,court,Kingston,ON,Cataraqui North
419900,542,Nora,court,Kingston,ON,Greenwood Park / St. Lawrence South
309900,808-120,Barrett,court,Kingston,ON,Cataraqui River East
299900,745,Louis,street,Kingston,ON,Mile Square
299900,105,Dauphin,avenue,Kingston,ON,Marker's Acres
294900,315,Rose Abbey,drive,Kingston,ON,Greenwood Park / St. Lawrence South
249900,1118,Bittersweet,place,Kingston,ON,Cataraqui Westbrook
483900,1409,Crossfield,avenue,Kingston,ON,Cataraqui North
1175000,650,Woodland,place,Kingston,ON,Neighbourhood Unknown
675000,180,Willingdon,avenue,Kingston,ON,Sunnyside
549900,61,Yonge,street,Kingston,ON,Portsmouth
519000,396,Barrie,street,Kingston,ON,Inner Harbour
419900,47,Gibson,avenue,Kingston,ON,Sunnyside
257900,2385,Mcivor,road,Kingston,ON,Sharpton / Glenvale
254900,2383,Mcivor,road,Kingston,ON,Sharpton / Glenvale
559900,4458,Highway 15,Highway,Kingston,ON,Joyceville / Brewer's Mills
299900,1810,Sydenham,road,Kingston,ON,Elginburg / Silvers Corners / Shannon's Corners
275000,2142,Unity,road,Kingston,ON,Sharpton / Glenvale
249900,2702,Highway 2 East,Highway,Kingston,ON,Neighbourhood Unknown
229900,340,Elliott,avenue,Kingston,ON,Rideau Heights
179900,80,Rosemund,crescent,Kingston,ON,Strathcona Park
119900,309-310,Kingsdale,avenue,Kingston,ON,Gardiners / Meadowbrook
1850000,1495,Lower,drive,Kingston,ON,Mile Square
729900,801,Stonewalk,drive,Kingston,ON,Greenwood Park / St. Lawrence South
674900,1341,Butternut Creek,road,Kingston,ON,Greenwood Park / St. Lawrence South
485000,1636,Bath,road,Kingston,ON,Gardiners / Meadowbrook
399900,2018,Geology,trail,Kingston,ON,Auden Park
390270,1419,Monarch,drive,Kingston,ON,Sydenham
388800,782,Davis,drive,Kingston,ON,Gardiners / Meadowbrook
225000,1121,Middle,road,Kingston,ON,Neighbourhood Unknown
1799000,19,Vandalay,crescent,Kingston,ON,Sunnyside
895000,51,Cowdy,street,Kingston,ON,Inner Harbour
699000,52,Kensington,avenue,Kingston,ON,Alwington
279900,865,Larchwood,crescent,Kingston,ON,Cataraqui Westbrook
1450000,452,Kingston Mills,road,Kingston,ON,Neighbourhood Unknown
669900,370,Alfred,street,Kingston,ON,Williamsville
319000,1015,Springfield,drive,Kingston,ON,Lemoine Point
309000,1424,Woodfield,crescent,Kingston,ON,Cataraqui Westbrook
419000,1176,Johnson,street,Kingston,ON,Fairway Hills
319000,148,Charles,street,Kingston,ON,Inner Harbour
674900,434,Princess,street,Kingston,ON,Queen's
615000,730,Squirrel Hill,drive,Kingston,ON,Cataraqui Westbrook
519900,99,Robert Wallace,drive,Kingston,ON,Polson Park
499900,0,Sydenham,road,Kingston,ON,Neighbourhood Unknown
465000,1025,Dunham,street,Kingston,ON,Westwoods
449900,137,Pauline Tom,avenue,Kingston,ON,Greenwood Park / St. Lawrence South
300000,769,Newmarket,lane,Kingston,ON,Rideau Heights
289000,581,Macdonnell,street,Kingston,ON,Kingscourt / Novelis (Alcan)
264900,497,Kingston Mills,road,Kingston,ON,Neighbourhood Unknown
384900,317,Janette,street,Kingston,ON,Cataraqui Westbrook
1150000,1148,Abbey Dawn,road,Kingston,ON,Greenwood Park / St. Lawrence South
869900,255,Earl,street,Kingston,ON,Queen's
779900,77,Rideau,street,Kingston,ON,Inner Harbour
629900,75,Rideau,street,Kingston,ON,Inner Harbour
534900,787,Friendship,court,Kingston,ON,Westwoods
495000,1054,Mona,drive,Kingston,ON,Westwoods
394900,1085,Johnson,street,Kingston,ON,Calvin Park
529900,1075,Finch,street,Kingston,ON,Westwoods
499900,1105,Crossfield,avenue,Kingston,ON,Cataraqui North
379900,1133,Wheathill,street,Kingston,ON,Gardiners / Meadowbrook
364900,939,Auden Park,drive,Kingston,ON,Henderson
349900,969,Alpine,court,Kingston,ON,Sutton Mills
309900,4295,Highway 2,Highway,Kingston,ON,Neighbourhood Unknown
279900,1073,Pinewood,place,Kingston,ON,Cataraqui Westbrook
167900,101-316,Kingsdale,avenue,Kingston,ON,Gardiners / Meadowbrook
614900,51,Riverside,drive,Kingston,ON,Neighbourhood Unknown
799900,873,Roshan,drive,Kingston,ON,Cataraqui Westbrook
729000,1455,Stoneridge,drive,Kingston,ON,Auden Park
479900,1177,Woodbine,road,Kingston,ON,Westwoods
259900,124,Dauphin,avenue,Kingston,ON,Marker's Acres
749000,1292,Highway 15,Highway,Kingston,ON,Greenwood Park / St. Lawrence South
739900,1166,Escala,crescent,Kingston,ON,Cataraqui Westbrook
669000,246,Pauline Tom,avenue,Kingston,ON,Greenwood Park / St. Lawrence South
559900,152,Greenlees,drive,Kingston,ON,Greenwood Park / St. Lawrence South
539900,359,Brock,street,Kingston,ON,Queen's
414900,463,Davis,drive,Kingston,ON,Gardiners / Meadowbrook
599900,2706,Middle,road,Kingston,ON,Neighbourhood Unknown
949000,81,Kenwoods,circle,Kingston,ON,Cataraqui River East
524900,1088,Wise,street,Kingston,ON,Westwoods
369000,656,Sussex,boulevard,Kingston,ON,Bayridge West
879900,568,Savannah,court,Kingston,ON,Cataraqui North
699900,913,Newhall,drive,Kingston,ON,Westwoods
479000,16,North Bartlett,street,Kingston,ON,Williamsville
184900,72,Russell,street,Kingston,ON,Inner Harbour
450000,1015,Terra Verde,way,Kingston,ON,Inner Harbour
1150000,35,Faircrest,boulevard,Kingston,ON,Neighbourhood Unknown
775000,625,Fieldstone,drive,Kingston,ON,Greenwood Park / St. Lawrence South
874900,711,King,street,Kingston,ON,Portsmouth
875000,215,University,avenue,Kingston,ON,Queen's
597800,146,Greenlees,drive,Kingston,ON,Greenwood Park / St. Lawrence South
592500,132,Greenlees,drive,Kingston,ON,Greenwood Park / St. Lawrence South
524900,217,Clipper,court,Kingston,ON,Greenwood Park / St. Lawrence South
359900,411,Kingston Mills,road,Kingston,ON,Neighbourhood Unknown
1350000,181,Sydeham,street,Kingston,ON,Inner Harbour
590000,80,Pembroke,street,Kingston,ON,Alwington
239900,155,Guthrie,drive,Kingston,ON,Marker's Acres
885000,1,Montgomery,boulevard,Kingston,ON,Reddendale
538500,1106,Fawn,court,Kingston,ON,Cataraqui North
389000,823,Montreal,street,Kingston,ON,Rideau Heights
684500,1956,Rosedale,drive,Kingston,ON,Elginburg / Silvers Corners / Shannon's Corners
280000,40,Fifth,avenue,Kingston,ON,Kingscourt / Novelis (Alcan)
249900,675,Alfred,street,Kingston,ON,Kingscourt / Novelis (Alcan)
189000,0,Leeman,road,Kingston,ON,Elginburg / Silvers Corners / Shannon's Corners
749900,1139,Seale,court,Kingston,ON,Cataraqui North
150000,721,Squirrel Hill,drive,Kingston,ON,Cataraqui Westbrook
150000,848,Windermere,drive,Kingston,ON,Cataraqui Westbrook
150000,717,Squirrel Hill,drive,Kingston,ON,Cataraqui Westbrook
150000,845,Windermere,drive,Kingston,ON,Cataraqui Westbrook
150000,852,Windermere,drive,Kingston,ON,Cataraqui Westbrook
145000,809,Windermere,drive,Kingston,ON,Cataraqui Westbrook
145000,813,Windermere,drive,Kingston,ON,Cataraqui Westbrook
140000,828,Windermere,drive,Kingston,ON,Cataraqui Westbrook
140000,729,Squirrel Hill,drive,Kingston,ON,Cataraqui Westbrook
140000,832,Windermere,drive,Kingston,ON,Cataraqui Westbrook
140000,820,Windermere,drive,Kingston,ON,Cataraqui Westbrook
