"","x"
"1",360900
"2",311100
"3",354300
"4",333100
"5",269700
"6",311700
"7",447000
"8",353700
"9",263200
"10",323600
"11",78500
"12",109700
"13",508800
"14",208300
"15",594400
"16",204100
"17",696300
"18",272800
"19",1159100
"20",216900
"21",354700
"22",497500
"23",336800
"24",310700
"25",237900
"26",785500
"27",218800
"28",465700
"29",268700
"30",561000
"31",230100
"32",330800
"33",629200
"34",373100
"35",350900
"36",306500
"37",253000
"38",385100
"39",371200
"40",369600
"41",602800
"42",252900
"43",412200
"44",330100
"45",707100
"46",255600
"47",440700
"48",420500
"49",371200
"50",396100
"51",301000
"52",297500
"53",220000
"54",929900
"55",291500
"56",58600
"57",489400
"58",331000
"59",348100
"60",225500
"61",310800
"62",723600
"63",449000
"64",235700
"65",435000
"66",303200
"67",426800
"68",227600
"69",495900
"70",357900
"71",313000
"72",255700
"73",374400
"74",379600
"75",537500
"76",443000
"77",577000
"78",463200
"79",424500
"80",291300
"81",321900
"82",133900
"83",218900
"84",443400
"85",347700
"86",400000
"87",331300
"88",281800
"89",668900
"90",732300
"91",433900
"92",391600
"93",327700
"94",200600
"95",263700
"96",486600
"97",180000
"98",228000
"99",392800
"100",231500
"101",561800
"102",314000
"103",155500
"104",263300
"105",336100
"106",315000
"107",317700
"108",353500
"109",373400
"110",265100
"111",316300
"112",1009800
"113",243600
"114",313300
"115",322000
"116",271800
"117",242400
"118",332000
"119",182100
"120",476400
"121",305700
"122",271800
"123",496200
"124",240300
"125",418100
"126",267200
"127",652800
"128",348500
"129",283500
"130",303700
"131",377800
"132",332500
"133",275200
"134",208100
"135",257300
"136",561300
"137",411400
"138",510400
"139",297200
"140",349700
"141",571600
"142",404200
"143",488600
"144",165200
"145",348000
"146",228600
"147",538800
"148",397200
"149",183200
"150",665000
"151",463400
"152",385400
"153",265200
"154",202500
"155",220500
"156",264400
"157",252500
"158",265600
"159",141500
"160",235000
"161",325600
"162",544300
"163",506600
"164",167800
"165",243200
"166",729000
"167",345000
"168",391200
"169",325000
"170",311500
"171",527100
"172",243000
"173",764000
"174",383800
"175",383800
"176",211800
"177",284800
"178",1405400
"179",270300
"180",506900
"181",206400
"182",327600
"183",285900
"184",292400
"185",583400
"186",218300
"187",256300
"188",251200
"189",150000
"190",266900
"191",363700
"192",87000
"193",327000
"194",257500
"195",333000
"196",208000
"197",245800
"198",223100
"199",261600
"200",316000
"201",443400
"202",378200
"203",308400
"204",308200
"205",471700
"206",395000
"207",500600
"208",307300
"209",309000
"210",351300
"211",275700
"212",289200
"213",279000
"214",737100
"215",845300
"216",270200
"217",226800
"218",457700
"219",582500
"220",274800
"221",274400
"222",349500
"223",283200
"224",312000
"225",261900
"226",595500
"227",330700
"228",433000
"229",239000
"230",290500
"231",415400
"232",484600
"233",435800
"234",232000
"235",394100
"236",202100
"237",130700
"238",405700
"239",652900
"240",195600
"241",330300
"242",216300
"243",336800
"244",358100
"245",349500
"246",212400
"247",168500
"248",105400
"249",320100
"250",301100
"251",802300
"252",310500
"253",200800
"254",441200
"255",404500
"256",438200
"257",288700
"258",419400
"259",250000
"260",356100
"261",386000
"262",252300
"263",319900
"264",234500
"265",285400
"266",356300
"267",327600
"268",185000
"269",248400
"270",432800
"271",597000
"272",318800
"273",247000
"274",272400
"275",377100
"276",66000
"277",445900
"278",172600
"279",239800
"280",528200
"281",306700
"282",417100
"283",189500
"284",349500
"285",401900
"286",250500
"287",369600
"288",208900
"289",618800
"290",269800
"291",468400
"292",287700
"293",237200
"294",303100
"295",269200
"296",287100
"297",183900
"298",147600
"299",278200
"300",245700
"301",278500
"302",504400
"303",339500
"304",691200
"305",430700
"306",391900
"307",310700
"308",237500
"309",216500
"310",342100
"311",384000
"312",394100
"313",161000
"314",196800
"315",333300
"316",236700
"317",638300
"318",511100
"319",227200
"320",264700
"321",270500
"322",307300
"323",470100
"324",407400
"325",334600
"326",267800
"327",938600
"328",359700
"329",468600
"330",253600
"331",478600
"332",256200
"333",435000
"334",271900
"335",356800
"336",316800
"337",451900
"338",514800
"339",339300
"340",660500
"341",300000
"342",400600
"343",426200
"344",253600
"345",367300
"346",665700
"347",300600
"348",221400
"349",362600
"350",268300
"351",390700
"352",379400
"353",520400
"354",228100
"355",203600
"356",308200
"357",466500
"358",382000
"359",262800
"360",302400
"361",212600
"362",269400
"363",428400
"364",337800
"365",770500
"366",319800
"367",496200
"368",154600
"369",289400
"370",279600
"371",263100
"372",342800
"373",301700
"374",678900
"375",551600
"376",224300
"377",352200
"378",232500
"379",265800
"380",233900
"381",434500
"382",498500
"383",355500
"384",217600
"385",351900
"386",207200
"387",229200
"388",719600
"389",226800
"390",350800
"391",368000
"392",451000
"393",415600
"394",357700
"395",162500
"396",602700
"397",273800
"398",283500
"399",495400
"400",335200
"401",261000
"402",413400
"403",262700
"404",314700
"405",297200
"406",580100
"407",227900
"408",518000
"409",361900
"410",314000
"411",686400
"412",287500
"413",496200
"414",308300
"415",457700
"416",293300
"417",300600
"418",376800
"419",290100
"420",427800
"421",655800
"422",189100
"423",353600
"424",256300
"425",253100
"426",515900
"427",224300
"428",372800
"429",459600
"430",720400
"431",136100
"432",384300
"433",320400
"434",345200
"435",298000
"436",166500
"437",366100
"438",478600
"439",272500
"440",444600
"441",301700
"442",481700
"443",581400
"444",262400
"445",291400
"446",404100
"447",248700
"448",299300
"449",214000
"450",453800
"451",520900
"452",667900
"453",203800
"454",467600
"455",351700
"456",318200
"457",253000
"458",419500
"459",258700
"460",455900
"461",309500
"462",476500
"463",282300
"464",529000
"465",214800
"466",209500
"467",2100000
"468",216800
"469",239600
"470",416800
"471",252600
"472",360200
"473",286300
"474",242700
"475",578500
"476",156200
"477",321000
"478",592800
"479",444800
"480",253100
"481",434100
"482",337400
"483",282500
"484",242300
"485",256300
